Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;50;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;1.309,86;1.310;3;27;18;10;7;30;
2;1.337,47;1.337,54;4;28;32;9;5;13;
3;1.322,04;1.322,14;6;30;8;28;4;15;
4;1.309,98;1.310,15;5;12;32;38;9;10;
5;1.430,73;1.430,74;10;27;12;32;7;14;
6;1.574,67;1.574,75;2;69;27;15;10;13;
7;1.497,48;1.497,53;14;26;26;35;8;6;
8;1.502,61;1.502,68;5;29;25;28;6;19;
9;1.558,76;1.558,8;9;20;71;2;21;5;
10;1.437,37;1.437,4;5;38;11;7;5;6;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;49,837;774,609;3206;3170;0-944-862-640-635-1074-419-1948-1821-1513-2086-1894-1581-1746-1358-1367-1378-1498-1021-755-540-1708-273-1364-2011-2088-2009-1968-933-680-1422-2089-1594-2005-426-2074-2002-1917-1958-1943-2053-2054-1445-1959-2003-2117-2028-1744-1613-1817-2018-1403-2084-1519-2079-1961-2076-1688-0
;;2;49,797;1.310,24;3099;3348;0-944-862-1303-895-1074-780-635-640-868-627-419-1688-2076-1961-2022-2018-1403-2084-1613-1817-2028-1744-1943-2054-2053-1917-1958-2002-2074-426-2005-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0
;;3;49,937;1.329,42;3196;3215;0-944-627-640-1360-1074-780-635-862-1303-419-1688-1730-2076-1961-2022-2018-1403-2084-1613-1817-1445-1744-1943-2054-2053-1917-1958-2002-426-2005-2083-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0
;;4;49,887;1.332,95;3191;3314;0-944-627-640-635-780-1074-1303-862-419-1961-2076-1688-1730-2079-2084-1403-2018-1613-1817-2022-1744-2053-2054-1943-1958-1917-2002-2074-426-2005-2083-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0
;;5;49,917;1.333,44;3160;3317;0-944-627-640-635-780-1074-1303-862-419-1688-1730-2038-1961-2076-2079-2084-1403-2018-1817-1613-2022-2053-2054-1943-1958-1917-2002-2074-426-2005-2083-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0
;;6;49,897;1.335,65;3106;3334;0-944-627-640-868-780-1074-1303-862-419-1688-1730-2038-1961-2076-2079-2084-1403-2018-1817-1613-2022-2053-2054-1943-1958-1917-2002-2074-426-2005-2083-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0
;;7;49,867;1.335,8;3131;3333;0-944-640-868-1074-780-635-627-862-1303-419-1688-1730-2076-1961-2079-2084-1403-2018-1817-1613-2022-2053-2054-1943-1958-1917-2002-2074-426-2005-2083-1726-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1821-1669-1948-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
