Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;55;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;1.811,8;1.811,87;4;22;1;21;2;15;
2;1.791,44;1.791,51;6;38;34;6;7;19;
3;1.752,24;1.752,46;5;31;12;13;9;6;
4;1.796,21;1.796,39;5;12;19;37;9;9;
5;1.756,73;1.756,75;6;34;28;16;7;16;
6;1.657,35;1.657,39;5;9;12;3;6;6;
7;1.657,44;1.657,52;3;19;28;15;7;12;
8;1.810,92;1.811;7;15;24;20;8;16;
9;1.710,85;1.710,98;7;18;12;26;7;7;
10;1.905,06;1.905,08;8;40;9;12;5;11;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;54,997;74,2733;3433;3512;0-944-862-1303-895-1074-780-640-1360-868-635-419-2079-2084-1403-2018-1817-1613-1744-1943-2054-2053-1958-1917-2002-2074-426-2005-1726-2083-1513-1998-2086-1894-1581-1746-1422-2089-1594-2041-1973-680-933-1968-2009-2088-2011-1364-273-1708-540-755-1021-1994-1498-1378-1358-1367-2029-1821-1948-1961-2076-1730-1688-627-0
;;2;54,877;1.811,96;3349;3635;0-944-862-1303-895-1074-635-627-640-1360-868-780-419-1688-1730-2076-2038-1948-1669-1821-1367-1358-1378-1498-1021-540-755-1968-2009-2088-2011-1708-273-1364-2029-1513-1998-1726-2083-2086-1581-1894-1746-2089-1422-680-2041-2005-2074-2002-1958-1917-1744-2053-1943-2054-1445-2003-1959-2022-1613-1817-2018-1403-2084-2079-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;54,997;62,6813;3249;3539;0-944-1303-895-1074-419-1948-1513-1998-2083-1726-2086-1894-1581-1746-2089-1422-1498-1367-1378-1708-1364-2009-1968-2088-2011-755-540-1021-2029-1821-1669-1688-1730-2076-1961-2022-1817-2018-1403-2084-862-627-635-640-450-529-127-1550-1971-2008-1676-2123-1950-2004-1784-1522-628-1093-780-0
;;2;54,997;34,8138;3295;3538;0-944-1303-895-1074-419-1948-1513-2083-1726-2086-1894-1581-1746-1422-2089-1378-1498-1367-273-1708-1364-2009-1968-2088-2011-755-540-1021-2029-1821-1669-1688-1730-2076-1961-2022-1817-2018-1403-2084-862-627-635-640-450-529-127-1550-1971-2008-1676-2123-1950-2004-1784-1522-628-1093-780-0
;;3;54,997;39,0228;3301;3529;0-944-1303-895-1074-419-1948-1513-1998-2083-1726-2086-1894-1581-1746-1422-2089-1367-1378-273-1708-1364-2009-1968-2088-2011-755-540-1021-2029-1821-1669-1688-1730-2076-1961-2022-1817-2018-1403-2084-862-627-635-640-450-529-127-1550-1971-2008-1676-2123-1950-2004-1784-1522-628-1093-780-0
;;4;54,997;39,8545;3301;3529;0-944-1303-895-1074-419-1948-1513-1998-2083-1726-2086-1894-1581-1746-2089-1422-1367-1378-273-1708-1364-2009-1968-2088-2011-755-540-1021-2029-1821-1669-1688-1730-2076-1961-2022-1817-2018-1403-2084-862-627-635-640-450-529-127-1550-1971-2008-1676-2123-1950-2004-1784-1522-628-1093-780-0
;;5;54,747;1.836,98;3392;3485;0-944-862-1303-895-780-1074-419-1948-1669-1821-1021-1968-2009-2088-2011-273-1364-755-540-1378-1367-1358-1513-2083-1726-2086-1581-1894-1746-1422-2089-2005-426-2074-2002-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;6;54,987;1.837,96;3523;3270;0-944-862-1303-419-1948-1821-1513-2029-1708-1364-273-2011-2088-2009-1968-755-540-1021-1498-1358-1367-1378-1994-1422-2089-1746-1894-1581-2086-1998-2083-1726-1594-2041-426-2002-1958-2054-2053-1817-1403-2084-1961-2076-1688-1522-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;7;54,847;1.840,78;3500;3302;0-944-862-1303-419-1948-1669-1821-1021-540-755-1968-2009-2088-2011-273-1708-1364-1498-1358-1367-1378-2029-1513-1998-2083-1726-2086-1581-1894-1746-1422-2089-1594-2041-426-2002-1958-1917-2053-1817-1403-2084-1961-2076-1688-1784-2004-1950-2123-1676-2008-1971-1550-2128-1352-640-635-0
;;8;54,957;1.842,47;3495;3345;0-944-862-1303-419-1948-1669-1821-2029-1364-1708-273-2011-2088-2009-1968-755-540-1021-1358-1367-1378-1498-2089-1422-1746-1894-1581-2086-1998-1513-2083-1726-1594-426-2074-2002-1958-1917-2053-1817-1403-2084-1961-2076-1688-1784-2004-1950-2123-1676-2008-1971-1550-2128-1352-640-635-0
;;9;54,887;1.849,84;3480;3429;0-944-862-1303-635-780-1074-419-1948-1669-1821-1513-755-540-1364-273-2011-2088-2009-1968-1021-1358-1367-1378-2089-1422-1746-1894-1581-2086-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;10;54,887;1.849,96;3440;3457;0-944-862-1303-780-1074-419-1948-1669-1821-1513-755-540-1708-1364-273-2011-2088-2009-1968-1021-1367-1358-1378-2089-1422-1746-1894-1581-2086-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;11;54,827;1.856,88;3451;3445;0-944-862-1303-895-419-1948-1669-1821-1513-755-540-1364-273-2011-2088-2009-1968-1021-1498-1358-1367-1378-2086-1581-1894-1746-1422-2089-2041-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;12;54,887;1.867,62;3494;3385;0-944-862-1303-635-1074-419-1948-1669-1821-1513-540-755-1364-273-2011-2088-2009-1968-1021-1498-1367-1358-1378-2089-1422-1746-1894-1581-2086-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;13;54,947;1.867,7;3374;3523;0-944-862-1303-895-1074-419-1948-1669-1821-540-755-1708-1364-273-2011-2088-2009-1968-1021-1378-1358-1367-2086-1581-1894-1746-1422-2089-2041-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;14;54,847;1.868;3487;3416;0-944-862-1303-419-1948-1669-1821-755-540-1708-1364-273-2011-2088-2009-1968-1021-1378-1498-1367-1358-1513-1998-2086-1581-1894-1746-1422-2089-2041-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0
;;15;54,827;1.868,29;3430;3483;0-944-862-1303-895-419-1948-1669-1821-1513-755-540-1708-1364-273-2011-2088-2009-1968-1021-1378-1358-1367-2086-1581-1894-1746-1422-2089-2041-2083-1726-2005-426-2074-2002-1917-1958-2053-1817-1403-2084-1961-2076-1688-1352-2128-1550-1971-2008-1676-2123-1950-2004-1784-640-0

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;54,967;1.796,36;3489;2880;0-944-862-1303-627-635-640-1360-1375-1522-1514-1889-1799-1784-1352-1376-1950-1476-1595-1676-1910-1962-2004-2008-2123-1822-1967-1529-1971-1550-1997-2128-1643-1691-127-450-1093-628-780-1074-1688-1821-2029-1021-540-755-1968-2088-1708-273-1364-1378-1358-1367-1498-1422-2089-1746-1894-1581-2086-1998-1513-0
