Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;75;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;2.984;2.984,12;15;36;16;18;14;43;
2;2.967,15;2.967,26;3;45;0;15;3;29;
3;2.769,48;2.769,57;24;25;8;4;24;11;
4;2.768,25;2.768,39;14;12;12;12;11;6;
5;2.905,24;2.905,34;11;36;20;12;11;22;
6;2.846,04;2.846,33;12;11;18;12;11;4;
7;2.712,36;2.712,42;7;19;6;11;5;13;
8;2.933,74;2.933,82;6;102;5;3;8;10;
9;2.715,83;2.715,86;10;21;10;14;12;20;
10;2.864,33;2.864,69;14;11;5;6;16;12;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;74,997;2.954,85;4356;4704;0-944-862-1303-895-1074-780-635-627-1360-868-640-529-127-628-1093-419-2079-2084-1403-2018-1817-1613-2022-1961-2076-1730-1688-2038-1948-1669-1821-2029-1513-2083-1726-2086-1894-1581-1746-1422-2089-1498-1378-1358-1367-1021-540-755-273-1364-1708-2011-2088-2009-1968-933-680-2041-1973-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1917-1958-1943-2054-2053-1744-2003-1959-2019-1663-2013-1955-2116-0
;;2;74,877;1.041,81;4469;4606;0-944-627-635-640-1360-868-780-1074-895-390-419-1948-1669-1821-1513-1998-2086-1581-1894-1746-2089-1422-1367-1358-1378-1498-2029-1021-540-755-1364-273-1708-2011-2088-2009-1968-933-680-2041-1594-2083-1726-2005-250-1775-1713-1850-2031-1914-1521-426-2074-2002-1958-1917-2053-2054-1943-1744-2028-2117-1445-1435-2063-146-2013-1955-1663-2019-1959-2003-2022-1817-1613-2018-1403-2084-1519-2079-1730-1688-2038-1961-2076-2026-1303-862-0
;;3;74,987;863,535;4527;4566;0-944-862-1303-895-1074-780-635-1360-868-640-651-450-529-127-628-1093-419-1948-2038-1961-2076-1688-1730-2026-1400-2022-1613-1817-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-146-2063-1435-1445-1959-2003-2054-2053-1943-2117-1744-2028-1958-1917-2002-2074-426-2005-2083-1726-1513-1998-2086-1894-1581-1746-1422-2089-1594-2041-1973-680-933-1968-2009-2088-2011-1708-273-1364-755-540-1021-1994-1498-1378-1358-1367-2029-1821-1669-627-0
;;4;74,947;1.758,82;4527;4566;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-628-1093-419-1948-2038-1688-1730-2026-2076-1961-1400-2022-1817-1613-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-2063-146-1435-1445-1959-2003-2054-1943-2053-1744-2028-2117-1958-1917-2002-2074-426-2005-2083-1726-1973-2041-1594-680-933-1968-2009-2088-2011-1708-273-1364-540-755-1021-1367-1358-1378-1498-1994-2089-1422-1746-1581-1894-2086-1998-1513-2029-1821-1669-0
;;5;74,977;1.906,5;4527;4566;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-628-1093-419-1948-2038-1961-2076-1688-1730-2026-1400-2022-1613-1817-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-2063-146-1435-1445-1959-2003-2054-1943-2053-2117-1744-2028-1917-1958-2002-2074-426-2005-2083-1726-1973-2041-1594-680-933-1968-2009-2088-2011-1708-1364-273-755-540-1021-1367-1358-1378-1498-1994-2089-1422-1746-1581-1894-2086-1998-1513-2029-1821-1669-0
;;6;74,987;2.592,96;4527;4566;0-944-862-1303-895-1074-780-635-1360-868-640-651-450-529-127-628-1093-419-1948-2038-1961-2076-1688-1730-2026-1400-2022-1817-1613-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-146-2063-1435-1445-1959-2003-2054-2053-1943-2117-1744-2028-1958-1917-2002-2074-426-2005-2083-1726-1513-1998-2086-1894-1581-1746-1422-2089-1594-2041-1973-680-933-1968-2009-2088-2011-1708-273-1364-755-540-1021-1994-1498-1378-1358-1367-2029-1821-1669-627-0
;;7;74,957;2.650,16;4527;4566;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-628-1093-419-1688-1730-2038-1961-2076-2026-1400-2022-1817-1613-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-146-2063-1435-1445-1959-2003-2054-1943-2053-2117-2028-1744-1958-1917-2002-2074-426-2005-2083-1726-2086-1581-1894-1746-933-680-1973-2041-1594-2089-1422-1994-1367-1358-1378-1498-1021-1364-273-1968-2009-2088-2011-1708-540-755-2029-1513-1998-1821-1669-1948-0
;;8;74,757;712,405;4564;4521;0-944-862-1303-627-635-1360-868-640-450-529-127-628-1093-780-1074-895-419-1948-2038-2076-1961-2022-1817-1613-2018-1403-1519-2079-2084-2026-1730-1688-1669-1821-2029-1513-1998-2083-1726-2086-1581-1894-1746-2089-1422-1994-1378-1358-1367-1498-1021-540-755-273-1708-1364-2011-2088-2009-1968-933-680-1594-2041-2005-426-2074-2002-1958-1917-2053-2054-1943-1744-2028-2117-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-390-0
;;9;74,907;2.984,14;4376;4696;0-944-862-1303-895-1074-780-635-1360-868-640-529-127-628-1093-419-2079-2084-1403-2018-1613-1817-2022-2026-1688-1730-2076-1961-2038-1948-1669-1821-2029-1513-2083-1726-2086-1894-1581-1746-1422-2089-1498-1378-1358-1367-1021-540-755-273-1364-1708-2011-2088-2009-1968-933-680-2041-1973-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1917-1958-1943-2054-2053-1744-2003-1959-2019-1663-2013-1955-2116-0
;;10;74,947;2.986,93;4438;4664;0-944-862-1303-895-1074-780-635-868-1360-640-651-1093-628-419-2079-1519-2084-1403-2018-1817-1613-2022-1961-2076-1730-1688-2038-1948-1669-1821-2029-1021-540-755-1968-2009-2088-2011-1708-273-1364-1498-1378-1358-1367-2089-1422-1746-1581-1894-2086-1998-1513-2083-1726-1973-2041-933-680-2005-250-1775-1713-1850-2031-1521-426-2074-2002-1917-1958-2053-2054-1943-1744-2003-1959-1435-2063-146-2019-2013-1663-2116-0
