Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;105;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;4.258,41;4.258,55;4;20;2;5;5;7;
2;4.099,99;4.100,21;7;3;4;0;3;3;
3;4.357,2;4.357,29;5;47;4;9;5;37;
4;4.375,03;4.375,39;7;7;13;0;6;7;
5;4.354,74;4.354,74;4;12;6;3;3;9;
6;4.123,24;4.123,52;10;26;27;9;9;16;
7;4.385,46;4.385,84;7;22;4;2;7;4;
8;4.440,31;4.440,65;7;25;4;4;3;28;
9;4.368,55;4.368,67;6;61;13;8;7;7;
10;4.168,17;4.168,28;7;64;16;13;11;27;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;104,797;2.462,69;6225;6111;0-944-862-1303-895-1074-780-635-627-1360-868-640-529-127-628-419-1948-2038-2076-1961-2022-1817-1613-2018-1403-1519-2079-2084-2026-1730-1688-1669-1821-2029-1513-1998-2086-1894-1581-1746-1422-2089-1498-1378-1358-1367-1021-540-755-273-1708-1364-2011-2088-2009-1968-933-680-2041-1973-1726-2083-2005-250-1775-1713-1850-2031-1914-1521-426-2074-2002-1958-1917-2053-2054-1943-1744-2028-2117-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-1977-1530-1497-1691-1643-1997-2128-1550-1971-1822-1529-1967-2004-1950-1962-2008-2123-1910-1595-1676-1376-1784-1352-1799-1522-0
;;2;104,757;1.278,47;6373;6108;0-944-862-1303-635-1360-868-640-651-450-529-127-1113-1244-1643-2128-1997-1550-1971-1822-1529-1595-1476-2008-1962-1950-1910-1676-2004-2123-1784-1352-1376-1799-1889-1514-1522-1375-628-1093-780-1074-895-390-419-1948-2038-1961-2076-1688-1730-2026-2022-1613-1817-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-146-2063-1435-1445-1959-2003-2054-1943-2053-2117-1744-2028-1917-1958-2002-2074-426-1914-1521-2031-1850-1713-1775-250-2005-1973-2041-1594-2089-1422-680-933-1968-2009-2088-2011-1708-273-1364-755-540-1021-2029-1358-1378-1498-1367-1994-1746-1581-1894-2086-1726-2083-1998-1513-1821-1669-627-0
;;3;104,997;2.462,69;6398;5972;0-944-862-1303-895-1074-780-635-627-640-1360-868-390-419-1245-1948-1688-1730-2076-1961-1400-2022-1613-1817-2018-1403-2084-1519-2079-2026-2038-1669-1821-2029-273-1364-1708-2011-2088-2009-1968-755-540-1021-1498-1358-1367-1378-1994-2089-1422-1746-1581-1894-2086-1998-1513-2083-1726-1594-933-680-2041-1973-2005-426-2074-2002-1958-1917-2053-2054-1943-1744-2028-2117-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-628-1093-651-450-529-127-1643-1997-2128-1550-1971-1967-1529-1822-2123-2008-2004-1962-1910-1676-1595-1476-1950-1376-1352-1784-1889-1799-1514-1522-1375-1502-1497-795-2097-1987-1530-0
;;4;104,987;564,077;6448;5446;0-944-862-1303-1360-651-450-529-127-640-635-780-1074-390-1245-2079-1519-2084-1403-2018-1817-1613-2022-1400-2026-2076-1961-2038-1730-1688-1948-1821-1513-2029-1358-1367-1378-1498-1021-755-540-1708-273-1364-2088-1968-933-680-2041-1594-2089-1422-1994-1746-1894-1581-2086-1998-2083-1726-2005-250-1775-1713-2061-2031-1914-426-2074-2002-1917-1958-2117-2028-1744-1943-2053-2054-1445-2003-1959-2063-2019-1663-2013-1375-1522-1799-1889-1376-1352-1784-2123-2008-2004-1962-1910-1676-1595-1476-1971-1550-2128-1997-1822-1529-1967-1950-1502-1530-795-2097-1382-1456-1533-0
;;5;104,897;4.270,77;6389;6105;0-944-862-1303-635-1360-868-640-651-450-529-127-1244-1691-1643-1997-2128-1550-1971-1967-1822-1529-1595-1476-2008-1962-1950-1910-1676-2004-2123-1784-1352-1376-1799-1889-1514-1522-1375-628-1093-780-1074-895-390-419-1948-2038-1961-2076-1688-1730-2026-1400-2022-1613-1817-2018-1403-2084-1519-2079-2116-1955-1663-2013-2019-146-2063-1435-1445-1959-2003-2054-1943-2053-2117-1744-2028-1917-1958-2002-2074-426-1914-1521-2031-1850-1713-1775-250-2005-1973-2041-1594-2089-1422-680-933-1968-2009-2088-2011-1708-273-1364-755-540-1021-2029-1358-1378-1498-1367-1994-1746-1581-1894-2086-1726-2083-1998-1513-1821-1669-627-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;104,957;685,709;6290;6002;0-944-627-868-1360-640-651-450-529-127-1244-628-1093-780-635-862-1303-895-1074-419-1688-1730-2038-1948-1669-1821-1513-2029-1378-1358-1367-1498-1021-540-755-1708-1364-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-1973-2005-426-2074-2002-1917-1958-2117-2028-1744-1943-2053-2054-1445-1435-146-2063-2019-2013-1663-1959-2003-2022-1613-1817-2018-1403-2084-1519-2079-2026-2076-1961-1375-1522-1889-1799-1352-1784-2004-1962-2008-1676-1950-1910-1971-1550-2128-1997-1822-1529-2123-1376-1502-1497-795-2097-1533-1833-1480-1488-1847-1555-0
;;2;104,967;679,706;6337;5996;0-944-627-868-1360-640-651-450-529-127-1244-628-1093-780-635-862-1303-895-1074-419-1688-1730-2038-1948-1669-1821-1513-1378-1358-1367-1498-1021-540-755-1708-1364-273-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-1973-2005-426-2074-2002-1917-1958-2117-2028-1744-1943-2053-2054-1445-1435-146-2063-2019-2013-1663-1959-2003-2022-1613-1817-2018-1403-2084-1519-2079-2026-2076-1961-1375-1522-1889-1799-1352-1784-2004-1962-2008-1676-1950-1910-1971-1550-2128-1997-1822-1529-2123-1376-1502-1497-795-2097-1533-1833-1480-1488-1847-1555-0
