Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;140;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;7.089,99;7.090,02;7;12;8;3;4;12;
2;7.217,47;7.217,5;10;74;8;1;7;15;
3;7.038,77;7.038,89;6;177;14;1;10;120;
4;7.115,94;7.116,06;11;187;15;1;7;187;
5;7.074;7.074,47;18;121;5;0;12;121;
6;7.129,1;7.129,47;8;76;20;3;11;78;
7;7.190,41;7.190,66;8;3;1;8;6;7;
8;7.072,2;7.072,43;8;8;8;22;6;9;
9;7.257,15;7.257,33;6;185;12;0;7;185;
10;7.133,74;7.133,88;13;2377;4;0;5;2377;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;139,937;7.106,42;8079;7538;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-1113-628-1093-390-419-2079-1519-2084-1403-2018-1817-1613-2022-1400-2026-2076-1961-2038-1688-1730-1948-1669-1821-2029-1513-1998-1994-1367-1358-1378-1498-1021-540-755-273-1364-1708-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1917-1958-2117-2028-1744-2053-1943-2054-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-1977-1375-1522-1514-1889-1799-1376-1352-1784-2123-2008-1962-1950-1910-1676-1595-1476-2004-1967-1822-1529-1971-1550-2128-1997-1643-1497-1530-795-2097-1987-1456-1382-1533-1795-1833-1841-1450-1805-1556-2132-1815-1488-1847-1819-1554-1555-527-1557-1480-1421-1379-1934-1923-1502-0
;;2;139,627;7.207,77;8024;7544;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-1113-1244-628-1093-390-419-2079-1519-2084-1403-2018-1817-1613-2022-1400-2026-2076-1961-2038-1688-1730-1948-1669-1821-1998-1513-2029-1498-1378-1358-1367-1021-540-755-1708-1364-273-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1958-1917-2028-2117-1744-1943-2053-2054-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-1977-1375-1522-1514-1889-1799-1376-1352-1784-2123-2008-1962-1950-1910-1676-1595-1476-2004-1967-1822-1529-1971-1550-2128-1997-1643-1497-1530-795-2097-1456-1382-1533-1795-1833-1841-1450-1805-1556-2132-1815-1488-1847-1819-1554-1555-527-1557-1480-1421-1379-1934-1923-1502-0
;;3;139,747;7.251,44;8018;7583;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-1244-628-1093-390-419-2079-1519-2084-1403-2018-1817-1613-2022-1400-2026-2076-1961-2038-1688-1730-1948-1669-1821-2029-1513-1998-1994-1367-1358-1378-1498-1021-540-755-273-1364-1708-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-1973-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1958-1917-1744-2028-2117-1943-2053-2054-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-1977-1375-1522-1514-1889-1799-1376-1352-1784-2123-2008-1962-1950-1910-1676-1595-1476-2004-1967-1822-1529-1971-1550-2128-1997-1643-1497-1530-795-2097-1456-1382-1533-1795-1833-1841-1450-1805-1556-2132-1815-1488-1847-1819-1554-1555-527-1557-1480-1421-1379-1934-1923-1502-0
;;4;139,697;7.255,56;8046;7543;0-944-862-1303-895-1074-780-635-627-868-1360-640-651-450-529-127-1244-628-1093-390-419-2079-1519-2084-1403-2018-1817-1613-2022-1400-2026-2076-1961-2038-1688-1730-1948-1669-1821-2029-1513-1998-1994-1367-1358-1378-1498-1021-540-755-273-1364-1708-2011-2088-2009-1968-933-680-2041-1594-2089-1422-1746-1581-1894-2086-1726-2083-2005-250-1713-1775-1850-2031-1914-1521-426-2074-2002-1917-1958-2117-2028-1744-2053-1943-2054-1445-2003-1959-1435-2063-146-2019-1663-2013-1955-2116-1245-1977-1375-1522-1514-1889-1799-1376-1352-1784-2123-2008-1962-1950-1910-1676-1595-1476-2004-1967-1822-1529-1971-1550-2128-1997-1691-1643-1497-1530-795-2097-1456-1382-1533-1795-1833-1841-1450-1805-1556-2132-1815-1488-1847-1819-1554-1555-527-1557-1480-1421-1379-1934-1923-1502-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;139,577;523,522;7585;7159;0-944-862-1303-627-640-651-1093-628-1244-1113-127-529-450-1360-868-635-780-1074-895-390-419-2079-1519-1400-2026-1688-1730-2076-1961-2038-1669-1821-2029-1513-1998-1894-1994-1367-1358-1498-1378-1021-755-540-1708-1364-273-2011-2088-2009-1968-933-680-1594-1422-2089-1746-1581-2086-1726-2083-1973-2041-2005-250-1775-1713-1850-2031-1521-426-2074-2002-1917-1958-1943-2117-2028-1744-2116-1245-1375-1522-1799-1889-1514-1376-1595-1910-2008-1962-1676-1822-1529-1967-2128-1997-1550-1971-2123-1950-2004-1352-1784-1502-1497-795-1987-2097-1382-1456-1533-1795-1833-1841-1555-1554-1819-1847-1488-1557-1480-1421-1379-1934-1923-1530-1955-1663-2013-2019-146-2063-1435-1959-2003-2054-2053-2022-1613-1817-2018-1403-2084-1948-0
;;2;139,577;524,035;7585;7159;0-944-862-1303-627-640-651-1093-628-1244-1113-127-529-450-1360-868-635-780-1074-895-390-419-2079-1519-2018-1817-1400-2026-1688-1730-2076-1961-2038-1669-1821-2029-1513-1998-1894-1994-1367-1358-1498-1378-1021-755-540-1708-1364-273-2011-2088-2009-1968-933-680-1594-1422-2089-1746-1581-2086-1726-2083-1973-2041-2005-250-1775-1713-1850-2031-1521-426-2074-2002-1917-1958-1943-2117-2028-1744-2116-1245-1375-1522-1799-1889-1514-1376-1595-1910-2008-1962-1676-1822-1529-1967-2128-1997-1550-1971-2123-1950-2004-1352-1784-1502-1497-795-1987-2097-1382-1456-1533-1795-1833-1841-1555-1554-1819-1847-1488-1557-1480-1421-1379-1934-1923-1530-1955-1663-2013-2019-146-2063-1435-1959-2003-2054-2053-2022-1613-1403-2084-1948-0
;;3;139,777;523,272;7623;7133;0-944-862-1303-627-640-651-1093-628-1244-1113-127-529-450-1360-868-635-780-1074-895-390-419-2079-1519-1400-2026-1688-1730-2076-1961-2038-1669-1821-2029-1513-1998-1994-1367-1358-1498-1378-1021-755-540-1708-1364-273-2011-2088-2009-1968-933-680-1594-1422-2089-1746-1581-1894-2086-1726-2083-1973-2041-2005-250-1775-1713-2031-1914-1521-426-2074-2002-1917-1958-1943-2117-2028-1744-2116-1245-1375-1522-1799-1889-1514-1376-1595-1910-2008-1962-1676-1822-1529-1967-2128-1997-1550-1971-2123-1950-2004-1352-1784-1502-1497-795-1987-2097-1382-1456-1533-1795-1833-1841-1555-1554-1819-1847-1488-1557-1480-1421-1379-1934-1923-1530-1955-1663-2013-2019-146-2063-1435-1959-2003-2054-2053-2022-1613-1817-2018-1403-2084-1948-0
