Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p32_t070.txt;70;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;5,18227;5,18243;4;5;0;0;4;5;
2;5,23922;5,23924;4;5;0;0;4;5;
3;5,22825;5,22826;4;6;0;1;4;6;
4;5,21786;5,21814;4;5;0;0;4;5;
5;5,22342;5,22347;4;4;0;0;4;4;
6;5,20912;5,20918;4;5;0;0;4;5;
7;5,21761;5,2178;4;4;0;0;4;4;
8;5,23414;5,23417;4;4;0;0;4;4;
9;5,22365;5,22379;4;5;0;0;4;5;
10;5,19844;5,19855;4;5;0;0;4;5;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;69,7932;0,103481;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;2;69,9825;1,61038;245;304;0-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-24-25-30-26-19-18-12-17-31
;;3;69,861;0,206698;255;292;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-17-31
;;4;69,541;2,95958;260;270;0-27-28-16-15-14-13-3-4-6-2-1-7-8-9-10-11-20-21-22-23-24-25-30-26-19-18-31

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;69,9825;0,023027;245;304;0-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-24-25-30-26-19-18-12-17-31
;;2;69,7932;0,023605;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;3;69,9412;0,024915;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-7-8-12-1-2-6-5-4-3-13-14-16-28-27-17-31
;;4;69,861;0,748517;255;292;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-17-31
;;5;69,541;0,282701;260;270;0-27-28-16-15-14-13-3-4-6-2-1-7-8-9-10-11-20-21-22-23-24-25-30-26-19-18-31

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;69,9825;0,05364;245;304;0-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-24-25-30-26-19-18-12-17-31
;;2;69,7932;0,845067;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;3;69,861;0,053642;255;292;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-17-31
;;4;69,541;2,87996;260;270;0-27-28-16-15-14-13-3-4-6-2-1-7-8-9-10-11-20-21-22-23-24-25-30-26-19-18-31

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;69,9825;0,050806;245;304;0-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-24-25-30-26-19-18-12-17-31
;;2;69,7932;0,052076;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;3;69,9412;0,091191;245;304;0-18-19-26-30-25-24-22-21-20-11-10-9-7-8-12-1-2-6-5-4-3-13-14-16-28-27-17-31
;;4;69,861;0,411954;255;292;0-18-19-26-30-25-24-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-17-31
;;5;69,541;0,387055;260;270;0-27-28-16-15-14-13-3-4-6-2-1-7-8-9-10-11-20-21-22-23-24-25-30-26-19-18-31

Run;3
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
