Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p559.txt;95;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;40,0512;40,0525;9;12;3;1;6;9;
2;39,6672;39,6702;14;16;3;5;9;10;
3;39,9127;39,9133;26;10;3;0;8;10;
4;39,5553;39,5568;5;13;2;1;7;12;
5;39,3196;39,3198;22;14;6;1;6;13;
6;39,3771;39,379;15;16;4;0;5;16;
7;40,0422;40,0435;17;14;5;0;9;14;
8;39,6023;39,6035;9;21;4;1;6;20;
9;40,9959;40,998;10;31;1;0;6;31;
10;40,4806;40,4832;10;15;0;3;10;13;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;94,031;11,1877;1083;1329;0-321-477-78-489-80-478-116-470-467-469-183-471-473-447-445-446-494-493-475-84-82-484-0
;;2;94,031;39,6616;1083;1329;0-321-477-78-489-80-478-116-470-469-467-183-471-473-447-445-446-494-493-475-84-82-484-0
;;3;94,121;0,406214;1106;1246;0-321-477-78-489-80-478-116-470-469-467-183-471-473-441-445-447-494-493-84-82-484-0
;;4;94,78;6,86415;1162;809;0-321-477-78-489-82-84-479-480-51-90-102-374-100-98-89-87-0
;;5;94,561;40,3524;1098;1303;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-445-447-494-493-475-84-82-484-0
;;6;94,931;40,4591;1023;1365;0-321-477-489-80-81-478-116-470-469-467-183-471-473-445-447-446-494-493-475-84-82-484-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;94,031;0,166246;1083;1329;0-321-477-78-489-80-478-116-470-467-469-183-471-473-445-447-446-494-493-475-84-82-484-0
;;2;94,031;0,170571;1083;1329;0-321-477-78-489-80-478-116-470-469-467-183-471-473-445-447-446-494-493-475-84-82-484-0
;;3;94,561;0,181475;1098;1303;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-445-447-494-493-475-84-82-484-0
;;4;94,561;0,253584;1098;1303;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-445-447-494-493-475-84-82-484-0
;;5;94,561;0,424228;1098;1303;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-447-445-494-493-475-84-82-484-0
;;6;94,561;0,911084;1098;1303;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-447-445-494-493-475-84-82-484-0
;;7;94,791;0,070407;1110;1204;0-321-484-477-78-489-80-82-84-116-470-469-467-183-471-473-447-445-494-493-479-0
;;8;94,201;0,074721;1120;1157;0-321-484-477-78-489-80-82-478-116-470-469-467-183-471-473-447-445-494-493-479-0
;;9;94,881;40,0603;1101;1271;0-321-477-78-489-80-478-116-470-467-469-472-183-471-473-445-494-493-475-84-82-484-0

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;92,891;0,421274;908;1333;0-321-484-80-478-116-470-469-467-183-471-473-441-445-447-446-494-493-475-82-84-0
;;2;94,031;1,21107;1083;1329;0-321-477-78-489-80-478-116-470-469-467-183-471-473-447-445-446-494-493-475-84-82-484-0
;;3;94,031;20,1531;1083;1329;0-321-477-78-489-80-478-116-470-469-467-183-471-473-445-447-446-494-493-475-84-82-484-0
;;4;94,031;25,3229;1083;1329;0-321-477-78-489-80-478-116-470-467-469-183-471-473-447-445-446-494-493-475-84-82-484-0
;;5;94,731;22,9076;1119;1176;0-321-484-477-78-489-80-478-116-470-467-469-183-471-473-445-447-494-493-84-479-0
;;6;94,78;32,0629;1162;809;0-321-477-78-489-82-84-479-480-51-90-102-374-100-98-89-87-0
;;7;94,561;39,6836;1098;1303;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-445-447-494-493-475-84-82-484-0
;;8;94,881;41,4509;1103;1191;0-321-477-78-489-80-478-116-470-467-469-472-183-471-473-447-494-493-475-84-82-484-0
;;9;94,881;41,4788;1101;1271;0-321-477-78-489-80-478-116-470-467-469-472-183-471-473-445-494-493-475-84-82-484-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
