Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;100;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;107,716;107,719;10;57;2;0;7;57;
2;104,393;104,395;7;98;4;0;6;98;
3;104,955;104,96;14;189;7;4;7;139;
4;105,36;105,366;17;92;4;2;5;80;
5;104,944;104,948;9;78;2;3;6;57;
6;107,696;107,704;12;33;4;1;12;8;
7;105,679;105,683;11;52;3;7;10;41;
8;105,508;105,508;12;37;1;0;11;37;
9;106,138;106,145;17;41;3;0;12;41;
10;106,074;106,077;5;200;2;1;6;192;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;99,665;30,2385;1657;1674;559-418-160-420-138-164-424-422-513-32-253-332-335-34-124-55-83-0-74-517-327-489-336-502-506-210-333-338-490-412-155-46-559
;;2;98,607;80,6058;1932;1643;559-418-423-419-421-46-442-444-412-155-488-334-34-124-55-83-335-519-517-33-0-74-253-332-328-32-513-1-20-111-416-110-422-424-164-138-160-420-559
;;3;98,747;22,6131;2234;1553;559-418-419-421-46-442-444-155-334-488-339-332-253-335-34-55-124-83-519-517-0-74-33-331-330-79-328-32-513-1-20-111-417-422-424-164-138-160-420-559
;;4;99,592;107,716;2241;1550;559-418-419-421-46-442-444-412-155-488-334-34-55-124-83-335-519-517-33-0-74-331-330-79-328-32-513-111-20-1-417-422-424-164-138-160-420-413-559
;;5;99,277;65,7203;2293;1538;559-418-413-421-46-442-444-155-334-488-339-332-253-335-34-55-124-83-519-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-424-164-138-160-420-559
;;6;99,842;107,861;1960;1626;559-418-413-160-420-138-164-424-422-110-416-111-20-1-513-32-332-33-0-74-517-519-335-83-55-124-34-334-488-155-412-444-442-46-421-419-559
;;7;99,547;108,237;2203;1600;559-418-423-419-421-46-442-444-412-155-488-334-34-55-124-83-335-253-332-519-517-0-74-33-331-330-79-328-32-513-111-20-1-417-422-424-164-138-160-420-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;99,247;21,3441;2145;1636;559-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-421-419-138-160-420-418-559
;;2;99,247;21,3848;2145;1636;559-164-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-421-419-138-160-420-418-559
;;3;99,247;21,3902;2145;1636;559-164-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-55-124-34-334-488-155-444-442-46-421-419-138-160-420-418-559
;;4;99,247;21,4976;2145;1636;559-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-55-124-34-334-488-155-444-442-46-421-419-138-160-420-418-559
;;5;99,667;22,4732;2145;1636;559-418-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-55-124-34-334-488-155-444-442-46-421-419-164-138-160-420-559
;;6;99,667;22,7619;2145;1636;559-418-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-124-55-34-334-488-155-444-442-46-421-419-164-138-160-420-559
;;7;99,667;22,7676;2145;1636;559-418-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-124-55-34-334-488-155-442-444-46-421-419-164-138-160-420-559
;;8;99,667;22,828;2145;1636;559-418-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-124-55-34-334-488-155-442-444-46-421-419-164-138-160-420-559
;;9;99,667;22,908;2145;1636;559-418-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-442-444-46-421-419-164-138-160-420-559
;;10;99,667;22,9196;2145;1636;559-418-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-442-444-46-421-419-164-138-160-420-559
;;11;99,497;23,1351;2145;1636;559-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-442-444-46-421-419-424-164-138-160-420-418-559
;;12;99,497;23,2989;2145;1636;559-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-124-55-34-334-488-155-442-444-46-421-419-424-164-138-160-420-418-559
