Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;110;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;122,899;122,9;15;260;6;0;15;260;
2;117,682;117,685;13;206;4;6;12;174;
3;118,759;118,764;11;280;5;0;10;280;
4;119,46;119,471;17;389;5;0;16;389;
5;120,32;120,321;11;120;0;0;11;120;
6;123,277;123,28;15;77;8;1;18;77;
7;119,652;119,657;16;68;9;1;16;69;
8;119,346;119,357;11;268;2;0;10;268;
9;120,503;120,512;14;301;1;0;14;301;
10;120,412;120,417;17;393;1;1;10;137;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;109,207;68,6339;1927;1825;559-418-420-424-164-138-160-423-419-421-46-442-444-155-488-334-34-335-83-124-55-490-338-333-210-506-502-336-489-327-517-33-0-74-253-332-32-513-559
;;2;109,707;6,12947;2084;1737;559-418-420-138-423-419-46-442-444-155-488-334-490-338-333-210-506-502-336-489-519-335-34-55-124-83-332-253-329-32-513-111-20-1-417-422-424-164-160-559
;;3;109,577;41,4928;2218;1736;559-418-413-420-424-164-138-160-423-419-46-442-444-412-155-488-334-34-55-124-83-335-332-253-0-74-517-33-331-330-79-328-32-513-1-111-20-416-110-422-559
;;4;108,947;35,4354;2376;1683;559-418-413-421-419-423-160-420-138-164-424-422-417-111-20-1-513-32-328-79-330-331-33-0-74-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-559
;;5;109,577;47,6936;2376;1683;559-418-160-420-413-421-419-423-138-164-424-422-417-1-20-111-513-32-328-79-330-331-33-0-74-517-519-335-34-55-124-83-253-332-339-334-488-155-412-444-442-46-559
;;6;109,577;104,359;2376;1683;559-418-160-420-413-421-419-423-138-164-424-422-417-1-20-111-513-32-328-79-330-331-33-0-74-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-559
;;7;109,897;30,5428;2388;1643;559-138-423-419-421-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-517-0-74-33-331-330-79-340-328-32-513-1-111-20-417-422-424-164-160-420-418-559
;;8;109,717;85,7542;2388;1643;559-418-160-420-424-164-138-423-419-421-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-517-0-74-33-331-330-79-340-328-32-513-111-20-1-417-422-559
;;9;109,237;98,2426;2400;1619;559-418-413-421-46-442-444-155-334-488-339-332-253-335-34-55-124-83-519-517-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-424-164-419-138-160-420-559
;;10;109,362;95,7684;2426;1593;559-422-417-111-20-1-513-32-328-340-79-330-331-33-0-74-517-519-335-83-55-124-34-339-488-334-155-412-444-442-46-421-419-424-164-138-160-420-418-413-559
;;11;109,685;122,924;1963;1807;559-418-420-424-164-138-160-423-419-421-46-155-488-334-34-335-83-124-55-490-338-333-210-506-502-336-489-327-517-33-0-74-253-332-32-513-1-20-111-559
;;12;109,745;123,015;1951;1815;559-418-420-424-164-138-160-423-419-421-46-155-412-490-338-333-210-506-502-336-489-327-517-33-0-74-335-34-124-55-83-332-253-32-513-1-111-20-417-559
;;13;109,925;123,073;2029;1801;559-418-420-424-164-138-160-423-419-421-46-155-488-334-34-335-83-124-55-490-338-333-210-506-502-336-489-327-517-33-0-74-253-332-32-513-20-111-417-559
;;14;109,637;126,228;2276;1707;559-418-420-424-164-138-160-423-419-421-46-442-444-412-155-488-334-34-55-124-83-335-519-332-253-0-74-517-33-331-330-79-328-32-513-417-111-20-416-110-422-559
;;15;109,617;126,419;2242;1709;559-418-420-424-164-138-160-423-419-421-46-442-444-412-155-488-334-34-55-124-83-335-519-332-253-33-0-74-331-330-79-328-32-513-111-20-416-110-422-413-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;109,047;26,2968;2193;1714;559-418-421-419-423-138-160-420-164-424-422-110-416-414-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-124-55-34-334-488-155-444-442-46-559
;;2;109,047;66,6254;2193;1714;559-418-421-419-423-138-160-420-164-424-422-110-416-414-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-442-444-46-559
;;3;109,847;15,1355;2207;1708;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-79-330-33-0-74-517-519-253-332-335-83-55-124-34-334-488-155-442-444-46-559
;;4;108,527;1,37814;2223;1706;559-418-413-421-419-423-424-164-138-160-420-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-444-442-46-559
;;5;108,397;1,53025;2223;1706;559-413-421-419-423-424-164-138-160-420-418-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-444-442-46-559
;;6;107,777;1,70354;2223;1706;559-418-413-421-419-423-160-420-138-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-444-442-46-559
;;7;108,267;2,69704;2223;1706;559-420-418-413-421-419-423-138-160-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-444-442-46-559
;;8;108,597;2,92691;2223;1706;559-138-160-420-418-413-421-419-423-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-253-332-335-83-124-55-34-334-488-155-444-442-46-559
;;9;108,597;3,33748;2223;1706;559-138-160-420-418-413-421-419-423-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;10;108,637;3,35774;2223;1706;559-420-138-160-418-413-421-419-423-164-424-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;11;108,527;3,47822;2223;1706;559-418-413-421-419-423-424-164-138-160-420-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;12;108,527;3,59868;2223;1706;559-418-413-421-419-423-424-164-138-160-420-422-110-416-111-20-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;13;108,267;3,81475;2223;1706;559-420-418-413-421-419-423-138-160-164-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;14;108,537;4,56965;2223;1706;559-418-420-424-164-138-160-423-419-421-413-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
;;15;108,757;4,61546;2223;1706;559-418-138-160-420-413-421-419-423-164-424-422-110-416-20-111-1-513-32-328-79-330-331-33-0-74-517-519-332-253-335-83-55-124-34-334-488-155-444-442-46-559
