Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;140;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;180,996;181;14;576;16;1;13;566;
2;174,532;174,541;9;415;7;0;12;415;
3;175,977;175,985;15;63;4;0;8;63;
4;175,276;175,284;13;251;11;3;14;246;
5;176,574;176,589;14;514;10;0;6;514;
6;183,183;183,188;15;498;17;0;14;498;
7;176,938;176,943;13;216;15;1;8;217;
8;175,504;175,505;12;335;12;1;15;115;
9;175,898;175,9;10;940;18;1;16;913;
10;176,369;176,377;15;1210;5;2;14;1210;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;139,898;79,456;2015;2385;559-418-160-420-424-164-138-419-391-82-377-98-380-385-117-102-378-125-132-374-388-557-494-139-103-150-153-245-249-67-242-65-460-235-2-518-403-14-416-110-422-559
;;2;139,578;115,807;2209;2256;559-418-424-164-160-420-138-423-377-82-98-380-385-117-102-378-125-132-374-388-557-494-139-103-150-153-245-249-67-147-242-65-460-235-459-244-2-518-403-110-416-111-20-1-417-559
;;3;139,677;143,394;2426;2215;559-418-420-424-164-138-160-423-419-421-46-442-444-412-155-488-334-338-490-333-214-210-506-502-336-489-33-0-74-517-335-34-55-124-83-253-332-32-513-1-111-20-416-110-422-413-559
;;4;138,677;122,943;2732;1987;559-418-413-421-160-420-424-164-138-423-419-46-442-444-155-334-488-339-332-253-83-335-34-124-55-490-338-333-506-502-336-489-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;5;139,702;121,156;2806;1793;559-413-418-422-417-111-20-1-513-32-328-79-330-331-33-0-74-519-83-335-34-55-124-490-338-334-488-339-155-412-444-442-46-409-109-54-404-415-421-419-160-420-138-164-424-559
;;6;139,708;181,02;2095;2375;559-418-160-420-424-164-138-419-391-82-377-98-380-385-117-102-378-125-132-374-557-139-103-388-494-150-153-245-249-67-242-65-460-235-459-244-2-518-403-416-110-422-559
;;7;139,928;181,039;2147;2299;559-418-160-420-424-164-138-391-82-377-98-380-385-117-102-378-125-132-374-557-139-103-388-494-150-153-245-249-67-242-65-460-459-244-248-2-518-403-416-110-422-559
;;8;138,887;185,11;2691;2142;559-418-160-420-424-164-138-423-419-46-442-444-412-155-488-334-490-338-333-214-210-506-502-336-489-519-335-34-55-124-83-332-253-0-74-517-33-331-330-79-328-32-513-111-20-1-417-422-559
;;9;138,247;185,207;2734;1983;559-418-413-421-160-420-424-164-138-423-419-46-442-444-155-334-488-339-332-253-83-335-34-124-55-490-338-506-502-489-336-327-517-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;10;139,627;185,238;2752;1975;559-418-413-421-160-420-424-164-138-423-419-46-442-444-155-334-488-339-332-253-335-83-124-55-490-338-333-506-502-336-489-327-517-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;11;139,807;185,289;2788;1972;559-418-413-421-160-420-424-164-138-423-419-46-442-444-155-334-488-339-332-253-519-83-335-34-55-124-490-338-506-502-336-489-517-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;12;139,987;186,977;2549;2196;559-418-420-160-423-419-138-164-424-422-110-416-417-111-20-1-513-32-328-253-332-519-33-0-74-517-327-489-336-502-506-210-333-338-490-124-55-83-335-34-334-488-155-412-444-442-46-421-413-559
;;13;139,962;189,066;2725;2127;559-418-420-160-423-419-138-164-424-422-417-111-20-1-513-32-328-79-330-331-332-519-33-0-74-517-327-489-336-502-506-210-333-338-490-124-55-83-335-34-334-488-155-412-444-442-46-421-413-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;139,618;2,20456;2045;2210;559-418-421-419-423-138-160-420-422-32-513-417-1-20-111-416-110-23-403-518-2-235-65-460-245-153-494-150-139-103-388-557-374-132-125-378-117-102-385-380-82-377-164-424-559
;;2;139,638;2,29231;2127;2186;559-413-421-419-423-138-160-420-418-422-417-1-20-111-416-110-23-14-403-518-2-244-235-65-460-245-153-494-150-139-103-388-557-374-132-125-378-117-102-385-380-82-377-164-424-559
